cert_no,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
CRAR287E,none,small,specialty,general-aircraft-components,none,none,"No public web presence found. Name indicates component-level repair shop. Located at or near North Perry Airport (HWO) Pembroke Pines. Likely micro-operation."
19WR307D,https://pasllc4u.com/,small,specialty,T56-engine-accessories,basic,none,"FAA145 Limited Accessories Repair Station. Specializes in T56 turboprop engine accessories. 25+ years of experience. Miami-based, globally serving. Website is functional Wix-style."
L35R159Y,http://www.capeaerospace.com/,small,specialty,general-aviation-components,basic,none,"FAA/EASA Part 145. Founded 1999. Specializes in repair/overhaul of ducts manifolds and tubes. ~3 employees per RocketReach; revenue ~$3M. Basic static website."
92AR300C,https://www.avindt.com/,small,specialty,multi-type-NDT-inspection,good,none,"Leading NDT MRO in South Florida. EASA cert #145.6802. Offers NDT inspection and training. Active social media (2400+ Facebook likes). Clean professional-looking website."
4BIR824C,http://www.bigskyaviation.org/,small,general-mro,piston-turboprop-rotor-jet,basic,none,"Family-owned at Palm Beach Intl Airport (PBI). Services piston/turboprop/rotor/jet. Mobile repair trucks across FL. Also has bigskyaviation.com. Small operation ~5-15 employees."
8VDR610D,https://aveoengineering.com/,medium,specialty,fixed-wing-helicopters,professional,none,"LED aerospace lighting OEM and Part 145 repair. Products: wingtip/nav/strobe/anti-collision/landing LEDs for aircraft and helicopters. Also at aveogroup.com. Engineering-focused company; well-funded appearance."
8HSR655C,none,small,specialty,helicopters,none,none,"No FL-specific web presence found for Helivert LLC Southwest Ranches. The Helivert name internationally refers to a Russian AgustaWestland JV—FL entity appears separate/unrelated. Likely a small helicopter maintenance shop operating privately."
KNKR697K,https://kaman.com/,large,specialty,military-commercial-aerostructures,professional,none,"Kaman Aerospace Jacksonville (now also referenced as VAERO Jacksonville). Major defense/aerostructures MRO. Metallic structures/assemblies for Boeing and other OEMs. IDIQ Boeing contract. 100+ employees at Jacksonville facility. Enterprise-grade web presence."
3QWR765C,none,small,general-mro,unknown,none,none,"FL sunbiz shows AEROJET LLC registered 2018 in Weston FL (not Miami proper). No dedicated website found. Very low public profile—likely micro operation or newly established station."
AV3R112E,https://www.ametekmro.com/businesses/avtech,medium,specialty,piston-turbine-commercial,professional,none,"AMETEK MRO Florida dba Avtech Avionics & Instruments. Engine and electrical component repair for piston through large commercial turbine aircraft. 18 employees; 15000 sq ft facility near Miami Intl Airport. AMETEK corporate web presence—professional."
T5BR050K,none,small,specialty,unknown,none,none,"Tru-Flight Manufacturing Inc Miami. Manufacturing name suggests FAA-PMA or STC parts production with repair authority. No website or public profile found. Likely very small specialty or micro-operation."
5E7R098C,none,small,specialty,unknown,none,none,"DSE Aerotech Inc Miramar. No dedicated website found. Miramar has 12 repair stations total; this one has low public profile. Likely small component or specialty aerotech shop."
3GRR424E,https://greenwood.aero/,small,specialty,military-government,good,none,"Greenwood Aerospace Inc Plant City FL. Native American-owned HubZone small business. Focuses on government procurement defense contracting and aircraft part-out/teardown. Professional website targeting government customers."
ONJR155E,none,small,general-mro,unknown,none,none,"On Flight LLC Miami. No website or public web presence found. Very low profile. Likely micro-operation or hangar-level shop near Miami airport corridor."
7YCR620C,none,small,general-mro,unknown,none,none,"Topjet Aviation LLC Medley FL. No website or public web presence found. Medley is an aviation-dense area near Opa-Locka and Miami Executive. Likely small jet maintenance operation."
GAQR032E,none,small,specialty,unknown,none,none,"Global Avionics Quest LLC Doral FL. No website found. Name strongly suggests avionics specialty. Doral is a hub for aviation MRO businesses near MIA. Likely small avionics shop."
J5MR485C,none,small,general-mro,jets,none,none,"Jet Miami Inc Hallandale Beach FL. No dedicated website found. Name implies jet aircraft maintenance. Hallandale Beach is close to North Perry Airport. Small operation likely."
AHLR134E,none,small,specialty,multi-type,none,none,"Aircraft Hydraulic Labs Inc Miami FL. No website found under that exact name. Related Aircraft Hydraulic Inc found in Medley area. Specialty hydraulic component repair. Small operation."
3U2R218D,none,small,general-mro,unknown,none,none,"C&C Aerospace Services LLC Doral FL. No website or public presence found. Doral aviation cluster. Likely micro to small general MRO or subcontract shop."
7P2R538D,none,small,general-mro,unknown,none,none,"Patriot Aviation LLC Ocoee FL. Founded 2011 per Bloomberg. Ocoee is near Orlando Executive Airport. Separate from Patriot Components (Medley) and Patriot-Aviation.com (flight school). No dedicated website found."
