shop_name,city,state,website,has_website,shop_size,employee_est,aircraft_types,software_mentioned,profile_archetype,website_quality,erp_fit_notes,website_fit_notes,notes
Islip Avionics,Ronkonkoma,NY,https://islipavionics.com,yes,small,5-10,"Single-engine piston through multi-engine corporate jets; Garmin dealer (#20)",unknown,legacy-family-shop,basic-wordpress,"Strong ERP fit — small family shop since 1986; likely using spreadsheets/paper. Founder passed 2024; sons Rick & Steven now running it. Transition period = buying window.","Moderate website fit — has a WordPress site but dated design. $5-10k refresh could modernize. AEA member since 1987.","FAA Part 145 at KISP MacArthur Airport. One of the first Garmin dealers. A&P mechanics on staff. Highly reviewed by pilots. Family succession in progress — good outreach timing."
Empire Avionics,White Plains,NY,none,no,small,3-5,"General avionics; business jets at KHPN",unknown,legacy-family-shop,none,"Possible ERP fit if still operating in any capacity; very small shop.","High website fit — no web presence at all. BUT Yelp lists them as CLOSED. Verify status before outreach.","AEA member since 1979. Located at Westchester County Airport (KHPN). Yelp shows CLOSED as of 2024. Old website was home.att.net/~avionics (defunct). Contact: Marc Rome. May be defunct — verify before pursuing."
Ventura Air Services (Ventura Aviation),Farmingdale,NY,https://venturajet.com,yes,medium,51-200,"Charter jets (Citation XL; Challenger); maintenance; avionics installation; engine swap",unknown,charter-plus-mro,professional,"Moderate ERP fit — larger operation with charter + maintenance divisions. 51-200 employees suggests existing systems but could be outgrowing them. Founded 1955.","Low website fit — venturajet.com is professional and modern. Already invested in web presence.","AEA member since 2008 (as Ventura Aviation). Also uses ventura.aero domain. Contact: Nicholas Tarascio. Republic Airport KFRG. Full-service charter + maintenance operation. Larger org — enterprise sale potential."
Linden Airport Management,Linden,NJ,https://www.lindenairportnj.com,yes,small,10-20,"Single engine; multi engine; turboprop; helicopter; light jets",unknown,airport-fbo-operator,basic-squarespace,"Moderate ERP fit — airport operator with maintenance services; likely basic systems. Small GA airport near Newark.","Moderate website fit — has a basic Squarespace-style site. Could benefit from $5-10k refresh. Note: 'Linden Flight Service' as a standalone entity unclear; airport management handles maintenance.","KLDJ. Airport-operator model providing fuel; hangar; maintenance; parking. On US Rt 1 near Newark. GA-focused. The maintenance operation appears bundled with airport management rather than standalone Part 145."
Meridian (Jet Center),Teterboro,NJ,https://meridian.aero,yes,large,200+,"Gulfstream mid/large cabin; business jets; TFE731 engines; APU service",unknown,premium-fbo-enterprise,professional,"LOW ERP fit — CLOSED their Part 145 repair station in 2020. Now FBO-only. Do NOT target for MRO software.","No website fit — meridian.aero is professional enterprise site. Part 145 is closed.","FAA Part 145 + EASA certified repair station was at KTEB. Honeywell authorized TFE731 service center. 102k sq ft hangar space. BUT sold charter/management business and CLOSED repair station in 2020 to focus on FBOs. Remove from MRO target list."
Atlantic Aviation / Midway Aircraft Services,Farmingdale,NY,unknown,unknown,unknown,unknown,"unknown",unknown,unverified,unknown,"Unable to verify — no distinct web presence found for 'Midway Aircraft Services' at Farmingdale. Atlantic Aviation is a national FBO chain.","Unknown — needs further verification.","Could not confirm 'Midway Aircraft Services' as a distinct Part 145 at Farmingdale/Republic. Atlantic Aviation is a large national FBO network (acquired by KKR). May have been absorbed or renamed. Needs manual verification via FAA repair station database."
International Turbine Service,Newburgh,NY,https://www.internationalturbineservice.com,yes,medium,50-100,"Turbine engines (general)",unknown,engine-specialist,professional,"LOCATION MISMATCH — ITS is headquartered in Grapevine TX not Newburgh NY. International Turbine Industries (ITI) is in Michigan. Need to verify if there's a Newburgh NY turbine shop.","N/A — wrong location. ITS is Texas-based.","The named entity 'International Turbine Service' is in Grapevine TX (founded 1979). 'International Turbine Industries' is in Michigan (FAA RS #2ITR324B; TFE731/JT15D/PW500 engines). Neither is in Newburgh NY. May be confused with another shop — verify via FAA database."
AeroParts International,Deer Park,NY,https://www.aeropartsintl.com,yes,small,10-25,"Parts supplier — airlines and general aviation worldwide",unknown,parts-distributor,basic,"Moderate ERP fit — parts distributor could use inventory/logistics ERP. 12+ years in business. Note: may not be Deer Park specifically; Aero Parts International LLC website doesn't confirm Deer Park address.","Moderate website fit — basic website with corporate video. '12 years of expertise.' Could benefit from $10-15k website upgrade.","Parts supplier rather than Part 145 repair station. Serves airlines and GA worldwide. Different sales approach — inventory management / logistics ERP rather than MRO workflow. Verify Deer Park address."
Executive Flyers Maintenance,Farmingdale,NY,unknown,no,unknown,unknown,"unknown",unknown,unverified,none,"Cannot assess — entity not found.","High website fit IF they exist — zero web presence.","Could not verify 'Executive Flyers Maintenance' as a distinct entity at Republic Airport/Farmingdale. Republic Jet Center (republicjetcenter.com) is the primary Part 145 at KFRG. May be defunct or informal name. Republic Jet Center is now Signature Select — large FBO chain."
Keystone Helicopter Corp,West Chester,PA,none,no,medium,50-100,"Helicopters — commercial; air medical; OEM completions/retrofits",unknown,helicopter-specialist,none,"Strong ERP fit — medium helicopter MRO with Part 145 + Part 135 + Part 91 operations. No website = likely using legacy/paper systems. Owned by Keystone Ranger Holdings (PE-backed).","Very high website fit — no website whatsoever for a PE-backed helicopter MRO. $15-25k website project. Yellow Pages listing only.","1420 Phoenixville Pike; West Chester PA 19380. FAA Part 145 Repair Station. Also Part 135 charter and Part 91 operations. Helicopter OEM completions and retrofitting. Owned by Keystone Ranger Holdings Inc (Philadelphia-area PE firm; Ranger Aerospace). Fleet of turbine helicopters across eastern US; primarily air medical. Strong dual sale opportunity (website + ERP)."
