candidate_name,cert_no,address_line_1,city,state,postal_code,nearest_airport_name,nearest_iata,nearest_icao,nearest_faa,distance_band,geo_confidence,location_profile_tags,ambiguity_note,source_ref
HAYES AVIATION RS,HRSR322E,1201 N. CEDAR AVE. BLDG 14,Akron,CO,80720,Colorado Plains Regional Airport,,KAKO,AKO,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
REDLINE AVIATION,R62R296Y,1201 NORTH CEDAR,Akron,CO,80720,Colorado Plains Regional Airport,,KAKO,AKO,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
DEPOT AVIONICS INC,GM6R566N,2550 STATE AVENUE,Alamosa,CO,81101,San Luis Valley Regional Airport,,KALS,ALS,near-airport,medium,avionics-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AEROFIELD SERVICES LLC,3FOR298C,19501 E. 23RD AVE,Aurora,CO,80011,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AVIATION WINDOW SERVICES,VW6R328Y,7114 RUSTIC TRAIL,Boulder,CO,80301,Boulder Municipal Airport,,KBDU,BDU,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
LIFE CYCLE BALLOON REPAIR,LCBR329X,15862 DUQUESNE CIRCLE,Brighton,CO,80603,Colorado Air and Space Port,,KCFO,CFO,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"AVEX AVIATION, LLC",X1IR595Y,11804 CORPORATE WAY,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ELEVATE MRO,K4LR032E,9586 METRO AIRPORT AVENUE,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
FREEDOM AVIONICS,FDBR221K,11905 CORPORATE WAY,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro|avionics-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
FRONT RANGE TRANSPONDER SERVICE,F42R979Y,11750 AIRPORT WAY,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"GOGO BUSINESS AVIATION, LLC",GO2R846D,105 EDGEVIEW DRIVE,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"GOGO BUSINESS AVIATION, LLC.",X8CR828N,105 EDGEVIEW DRIVE,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
HQ HELIWORKS LLC,9HQR621C,11915 AIRPORT WAY # 6,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,on-airport,high,airport-campus|front-range-metro|rotorcraft-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"INTERNATIONAL GOVERNOR SERVICES, LLC",IG0R976N,7290 WEST 118TH PLACE,Broomfield,CO,80020,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
JETTECH LLC,ZYJR157B,10122 AIRPORT COURT,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
LEGACY AIR,76YR726D,11905 CORPORATE WAY,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],ZP8R849Y,12300 PILATUS WAY,Broomfield,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"C7 AEROWERKS, LLC",NW6R094J,1727 AVIATION WAY,Colorado Springs,CO,80916,City of Colorado Springs Municipal Airport,COS,KCOS,COS,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
COLORADO AIRWORKS LLC,HA6R580N,7312 BELL DR.,Colorado Springs,CO,80920,City of Colorado Springs Municipal Airport,COS,KCOS,COS,near-airport,medium,southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
D & J AVIATION INC,4JDR353D,1945 AVIATION WAY,Colorado Springs,CO,80916,City of Colorado Springs Municipal Airport,COS,KCOS,COS,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
M E K LTD,MQWR059K,5454 ALTEZA DR.,Colorado Springs,CO,80917,City of Colorado Springs Municipal Airport,COS,KCOS,COS,near-airport,medium,southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
PEGASUS AEROSPACE MISSION SYSTEMS,PMSR554E,1945 AVIATION WAY,Colorado Springs,CO,80916,City of Colorado Springs Municipal Airport,COS,KCOS,COS,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"TRINE AEROSPACE, LLC",QMKR800X,5765 TAXI WAY,Colorado Springs,CO,80916,City of Colorado Springs Municipal Airport,COS,KCOS,COS,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
WESTPAC PROPELLER SERVICES INC,ZW8R398Y,765 AVIATION WAY,Colorado Springs,CO,80916,City of Colorado Springs Municipal Airport,COS,KCOS,COS,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
POSITECH INTERNATIONAL LLC,PTIR407E,18436 F ROAD,Delta,CO,81416,Blake Field,,KAJZ,AJZ,near-airport,medium,western-slope,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"GLOBAL SUPERTANKER AVIATION, LLC.",7GSR084O,9101 KENYON AVENUE,Denver,CO,80237,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro,Denver city records may be closer to reliever airport than KDEN,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
HELIARC WELDING SERVICE,VX3R935L,3965 NEWPORT STREET,Denver,CO,80207,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro|rotorcraft-signal,Denver city records may be closer to reliever airport than KDEN,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ROCKY MOUNTAIN HOT AIR LLC,RYHR519X,5075 W. ALASKA PLACE,Denver,CO,80219,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro,Denver city records may be closer to reliever airport than KDEN,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
WESTERN AERO REPAIR INC,W33R587X,5995 NORTH WASHINGTON STREET,Denver,CO,80216,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro,Denver city records may be closer to reliever airport than KDEN,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],W8VR768Y,27280 E 75TH AVE,Denver,CO,80249,Denver International Airport,DEN,KDEN,DEN,near-airport,medium,front-range-metro,missing agency name in source row ; Denver city records may be closer to reliever airport than KDEN,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AIRCAM NATIONAL HELICOPTER SERVICES INC,VMIR360T,12951 EAST CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro|rotorcraft-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,H51R588Y,12420 EAST CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ARAPAHOE AERO AVIONICS,ZL6R006Y,12780 EAST CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro|avionics-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
BODE AVIATION INC,J7BD555Y,7935 S. PEORIA ST.,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
CENTENNIAL AIRCRAFT INTERIORS CORPORATION,DYHR613K,7405 SOUTH PEORIA STREET,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
CUTTER AVIATION DENVER CO-APA,CUTR877D,12260 EAST CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
DIRECT MX AVIATION LLC,FMSR378E,"8551 AVIATOR LN, STE D.",Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"INTERMOUNTAIN TESTING COMPANY, LLC",FS6R104E,2965 S. SHOSHONE STREET,Englewood,CO,80110,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
KEY LIME AIR CORPORATION,KY7R882H,13252 E. CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
PRECISION AIRCRAFT & ENGINE SERVICES INC,PE5R116N,7425 SOUTH PEORIA CIRCLE,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"PREMIER AIR CENTER, LLC",PAZ3068H,12000 EAST CONTROL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,on-airport,high,airport-campus|front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
PRO POLISH LLC,7F6R102D,"2761 WEST OXFORD AVENUE, UNIT 1",Englewood,CO,80110,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
STRAIGHT FLIGHT LLC,OMKR399L,13251 EAST CONTOL TOWER ROAD,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],QMLR253U,7301 SOUTH PEORIA STREET,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],3SDR529B,8165 S. WALLACE COURT,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],VIB4368K,7735 S PEORIA ST,Englewood,CO,80112,Centennial Airport,APA,KAPA,APA,near-airport,medium,front-range-metro,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ROCKY MOUNTAIN PROPELLERS INC,FR6R545N,2865 AIRPORT DRIVE,Erie,CO,80516,Erie Municipal Airport,,KEIK,EIK,on-airport,high,airport-campus,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
CENTURY HELICOPTERS INC,PN5R125N,2001 AIRWAY AVENUE,Fort Collins,CO,80524,Northern Colorado Regional Airport,,KFNL,FNL,on-airport,high,airport-campus|rotorcraft-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"PHOENIX TURBINE OVERHAUL AND REPAIR, LLC.",N3KR215O,204 N. LINK LN. #A-4,Fort Collins,CO,80524,Northern Colorado Regional Airport,,KFNL,FNL,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],XDWR042L,1000 E. DRAKE ROAD,Ft. Collins,CO,80525,Northern Colorado Regional Airport,,KFNL,FNL,near-airport,medium,,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
DNT AVIONICS,6DNR881C,2845 AVIATORS WAY,Grand Junction,CO,81506,Grand Junction Regional Airport,GJT,KGJT,GJT,on-airport,high,airport-campus|western-slope|avionics-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
TWIN OTTER INTERNATIONAL LTD,SCIR012A,2780 LANDING VIEW LANE,Grand Junction,CO,81506,Grand Junction Regional Airport,GJT,KGJT,GJT,on-airport,high,airport-campus|western-slope,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
[blank-name],WTXR173J,"WEST STAR AVIATION, LLC",Grand Junction,CO,81506,Grand Junction Regional Airport,GJT,KGJT,GJT,near-airport,medium,western-slope,missing agency name in source row,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ADVANCED AEROTECHNOLOGIES GROUP LLC,27OD157C,631 BUSS AVE.,Greeley,CO,80631,Northern Colorado Regional Airport,,KGXY,GXY,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
BEEGLES AIRCRAFT SERVICE LLC,BX4R092M,635 AIRPORT ROAD,Greeley,CO,80631,Northern Colorado Regional Airport,,KGXY,GXY,on-airport,high,airport-campus,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
WESTERN PLAINS AVIATION LLC,122R933C,3401 EAST 8TH STREET,Greeley,CO,80631,Northern Colorado Regional Airport,,KGXY,GXY,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ALLEN AVIATION LLC,AAVR958D,3652 CR GG. 2,Lamar,CO,81052,Lamar Municipal Airport,,KLAA,LAA,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
CENTRI-LUBE TECHNOLOGIES LLC,5LBR346D,5212 CESSNA DR.,Loveland,CO,80538,Northern Colorado Regional Airport,,KFNL,FNL,on-airport,high,airport-campus,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
TRANS AERO LLC,VW0R441Y,5235 GULFSTREAM COURT,Loveland,CO,80538,Northern Colorado Regional Airport,,KFNL,FNL,on-airport,high,airport-campus,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
MEEKER AIRPORT INC,T3RR881N,921 EAST MARKET STREET,Meeker,CO,81641,Meeker Airport,,KEEO,EEO,on-airport,high,airport-campus|western-slope,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
WESTERN SKYWAYS INC,WS9R575J,21 CREATIVE PLACE,Montrose,CO,81401,Montrose Regional Airport,MTJ,KMTJ,MTJ,on-airport,high,airport-campus|western-slope,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
WESTERN SKYWAYS TURBINE INC,1B6R708C,"1681 6450 RD, UNIT 3A",Montrose,CO,81401,Montrose Regional Airport,MTJ,KMTJ,MTJ,on-airport,high,airport-campus|western-slope,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AVTRONICS INC,3AXR823B,685 CONDOR DRIVE,Pagosa Springs,CO,81147,Stevens Field,,KPSO,PSO,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
MOBILE TRANSPONDER SERVICES LLC,TJJR625X,8266 CESSNA DR.,Peyton,CO,80831,Meadow Lake Airport,,KFLY,FLY,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
CAE USA INC,3DOR530B,1 WILLIAM WHITE BOULEVARD,Pueblo,CO,81001,Pueblo Memorial Airport,PUB,KPUB,PUB,near-airport,medium,southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
SABER AIRCRAFT SERVICES LLC,3MTR418B,522 SKYWAY STREET,Pueblo,CO,81001,Pueblo Memorial Airport,PUB,KPUB,PUB,on-airport,high,airport-campus|southern-front-range,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
DENVER HOT AIR REPAIR,GL6R565N,24201 M-5 RD,San Luis,CO,81152,San Luis Valley Regional Airport,,KALS,ALS,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ALLOY METALWORKS LLC,ALWR453E,"1865 W. UNION AVE. UNITS R,S,T",Sheridan,CO,80110,Centennial Airport,APA,KAPA,APA,near-airport,medium,,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
"AIR COMM CORPORATION, LLC",KP7R699J,14903 GRANT STREET,Thornton,CO,80023,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
AOG-ASAP AVIONICS INC,O0AR682Y,37451 BEECHCRAFT WAY,Watkins,CO,80137,Colorado Air and Space Port,,KCFO,CFO,near-airport,medium,avionics-signal,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
BAE SYSTEMS SPACE & MISSION SYSTEMS INC,B4CR228J,9675 WEST 108TH CIRCLE,Westminster,CO,80021,Rocky Mountain Metropolitan Airport,,KBJC,BJC,near-airport,medium,front-range-metro,,Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
